NumberOfIntegers,DataStructure,put(),replace(),containsKey(),containsValue(),get(),remove()

100000,HashMap,20,20,20,20,20,20
100000,HashMap_Initialized,23,23,23,23,23,23
100000,LinkedHashMap,21,21,21,21,21,21
100000,LinkedHashMap_Initialized,24,24,24,24,24,24
100000,TreeMap,19,19,19,19,19,19

125000,HashMap,24,24,24,24,24,24
125000,HashMap_Initialized,27,27,27,27,27,27
125000,LinkedHashMap,25,25,25,25,25,25
125000,LinkedHashMap_Initialized,28,28,28,28,28,28
125000,TreeMap,23,23,23,23,23,23

150000,HashMap,28,28,28,28,28,28
150000,HashMap_Initialized,31,31,31,31,31,31
150000,LinkedHashMap,29,29,29,29,29,29
150000,LinkedHashMap_Initialized,32,32,32,32,32,32
150000,TreeMap,27,27,27,27,27,27

175000,HashMap,32,32,32,32,32,32
175000,HashMap_Initialized,35,35,35,35,35,35
175000,LinkedHashMap,33,33,33,33,33,33
175000,LinkedHashMap_Initialized,36,36,36,36,36,36
175000,TreeMap,31,31,31,31,31,31

200000,HashMap,38,38,38,38,38,38
200000,HashMap_Initialized,40,40,40,40,40,40
200000,LinkedHashMap,39,39,39,39,39,39
200000,LinkedHashMap_Initialized,41,41,41,41,41,41
200000,TreeMap,36,36,36,36,36,36

225000,HashMap,41,41,41,41,41,41
225000,HashMap_Initialized,43,43,43,43,43,43
225000,LinkedHashMap,43,43,43,43,43,43
225000,LinkedHashMap_Initialized,45,45,45,45,45,45
225000,TreeMap,40,40,40,40,40,40

250000,HashMap,45,45,45,45,45,45
250000,HashMap_Initialized,47,47,47,47,47,47
250000,LinkedHashMap,47,47,47,47,47,47
250000,LinkedHashMap_Initialized,49,49,49,49,49,49
250000,TreeMap,44,44,44,44,44,44

275000,HashMap,49,49,49,49,49,49
275000,HashMap_Initialized,51,51,51,51,51,51
275000,LinkedHashMap,51,51,51,51,51,51
275000,LinkedHashMap_Initialized,53,53,53,53,53,53
275000,TreeMap,48,48,48,48,48,48

300000,HashMap,53,53,53,53,53,53
300000,HashMap_Initialized,55,55,55,55,55,55
300000,LinkedHashMap,55,55,55,55,55,55
300000,LinkedHashMap_Initialized,57,57,57,57,57,57
300000,TreeMap,52,52,52,52,52,52

325000,HashMap,57,57,57,57,57,57
325000,HashMap_Initialized,59,59,59,59,59,59
325000,LinkedHashMap,59,59,59,59,59,59
325000,LinkedHashMap_Initialized,61,61,61,61,61,61
325000,TreeMap,56,56,56,56,56,56

350000,HashMap,61,61,61,61,61,61
350000,HashMap_Initialized,63,63,63,63,63,63
350000,LinkedHashMap,63,63,63,63,63,63
350000,LinkedHashMap_Initialized,65,65,65,65,65,65
350000,TreeMap,60,60,60,60,60,60

375000,HashMap,64,64,64,64,64,64
375000,HashMap_Initialized,66,66,66,66,66,66
375000,LinkedHashMap,67,67,67,67,67,67
375000,LinkedHashMap_Initialized,69,69,69,69,69,69
375000,TreeMap,64,64,64,64,64,64

400000,HashMap,72,72,72,72,72,72
400000,HashMap_Initialized,72,72,72,72,72,72
400000,LinkedHashMap,75,75,75,75,75,75
400000,LinkedHashMap_Initialized,75,75,75,75,75,75
400000,TreeMap,70,70,70,70,70,70

425000,HashMap,76,76,76,76,76,76
425000,HashMap_Initialized,76,76,76,76,76,76
425000,LinkedHashMap,79,79,79,79,79,79
425000,LinkedHashMap_Initialized,79,79,79,79,79,79
425000,TreeMap,74,74,74,74,74,74

450000,HashMap,80,80,80,80,80,80
450000,HashMap_Initialized,80,80,80,80,80,80
450000,LinkedHashMap,83,83,83,83,83,83
450000,LinkedHashMap_Initialized,83,83,83,83,83,83
450000,TreeMap,78,78,78,78,78,78

475000,HashMap,84,84,84,84,84,84
475000,HashMap_Initialized,84,84,84,84,84,84
475000,LinkedHashMap,87,87,87,87,87,87
475000,LinkedHashMap_Initialized,87,87,87,87,87,87
475000,TreeMap,82,82,82,82,82,82

500000,HashMap,88,88,88,88,88,87
500000,HashMap_Initialized,88,88,88,88,88,87
500000,LinkedHashMap,91,91,91,91,91,91
500000,LinkedHashMap_Initialized,91,91,91,91,91,91
500000,TreeMap,86,86,86,86,86,86

525000,HashMap,91,91,91,91,91,91
525000,HashMap_Initialized,91,91,91,91,91,91
525000,LinkedHashMap,95,95,95,95,95,95
525000,LinkedHashMap_Initialized,95,95,95,95,95,95
525000,TreeMap,90,90,90,90,90,90

550000,HashMap,95,95,95,95,95,95
550000,HashMap_Initialized,95,95,95,95,95,95
550000,LinkedHashMap,99,99,99,99,99,99
550000,LinkedHashMap_Initialized,99,99,99,99,99,99
550000,TreeMap,94,94,94,94,94,94

575000,HashMap,99,99,99,99,99,99
575000,HashMap_Initialized,99,99,99,99,99,99
575000,LinkedHashMap,103,103,103,103,103,103
575000,LinkedHashMap_Initialized,103,103,103,103,103,103
575000,TreeMap,98,98,98,98,98,98
